train_loss,valid_loss
0.005683562314413333,3.656629464433839e-05
0.00016947959909060348,0.00023090685843490065
0.00010610671230824664,0.000288919467991218
7.639987592289496e-05,0.00010273018575971946
5.49443526409353e-05,3.128306797977226e-05
3.9746338078111874e-05,1.6074636102227185e-05
3.290738844249669e-05,2.8703219398933774e-05
2.64473928372657e-05,2.763544133825538e-05
2.3175938008474382e-05,3.982613223100391e-06
1.9719695845378736e-05,7.712265479252285e-06
1.8217867062655085e-05,1.9085833969681214e-05
1.5701768370854553e-05,2.9328611867579943e-05
1.5369402764251087e-05,3.0385478707709503e-06
1.3207501663055155e-05,4.029284794620859e-05
1.3100875242798793e-05,4.276255788621105e-06
1.2114923845941424e-05,2.2268776741839247e-06
1.1321608593880228e-05,1.6711705641743418e-05
1.0920745499333861e-05,1.4963782459866101e-05
1.016060552028648e-05,1.9491411400182794e-05
1.032354746779068e-05,1.9906550921101977e-06
9.69470630370779e-06,1.3537352546942808e-06
9.160177381151395e-06,1.3249113152293527e-06
8.99244773894073e-06,7.373488820121565e-07
8.800664906205687e-06,8.355379865679424e-06
8.205198132448762e-06,3.728322410024703e-05
8.236668177475318e-06,7.521536375861615e-06
8.04332899194075e-06,8.383312314739062e-07
7.6271203365043525e-06,3.0234505443756157e-05
7.439414680948176e-06,8.528432324965251e-07
7.328896990384237e-06,8.077951804504361e-07
7.3611946055279986e-06,3.726088100423416e-05
6.81767249263127e-06,6.090066675218016e-07
6.748673938985424e-06,2.475037158607544e-06
6.9342579577854245e-06,4.8914819980079e-06
6.409003591276511e-06,3.285489998719034e-06
6.483788364562315e-06,2.0130083061303595e-06
6.440046769588056e-06,1.832741332812778e-06
5.976686746309194e-06,7.864124574249823e-07
6.248193614790883e-06,3.990806488218368e-07
5.721475571476731e-06,1.990966325865884e-06
5.917008454328728e-06,7.01117995201154e-07
5.6821554836687935e-06,2.877347549959571e-07
5.4309438700859875e-06,1.4337272377209349e-06
5.30904419442777e-06,1.0228413377384034e-05
5.761611826672682e-06,2.453894391692302e-07
5.217373472172918e-06,2.0771497142656394e-06
5.237767088730531e-06,2.704207622628019e-07
5.0485051486627225e-06,6.204645471249629e-06
5.287497325866752e-06,1.7562348917514705e-05
4.7633770323462464e-06,1.2469179172815834e-06
4.843091569076326e-06,3.168279680176056e-06
4.787060549430559e-06,5.81761919966084e-06
4.899460482427761e-06,1.5765129818949693e-06
4.57589853092486e-06,1.1409989729145308e-07
4.615190994407688e-06,3.741394441506903e-06
4.530568532716946e-06,1.127954083882893e-05
4.453429356832809e-06,4.272541769599532e-07
4.489699511187458e-06,2.9118185909737804e-07
4.472474766695693e-06,7.154668188074236e-07
4.248301877229702e-06,4.735286507032773e-07
4.113734935807163e-06,2.3904156644130125e-05
4.078229076988767e-06,1.6834884316873892e-06
4.177510923902143e-06,1.4541308577463497e-06
4.1775638629208815e-06,1.653633903673229e-05
4.013332915568905e-06,3.0910250076582694e-07
