train_loss,train_val_loss,train_grad_loss,valid_loss,valid_val_loss,valid_grad_loss
0.021535025904816575,0.00435805213341567,0.017176973771400907,0.0007312458410859107,0.00011667161736016472,0.000614574223725746
0.00023859928339952603,5.6305519139277746e-05,0.00018229376426024828,0.0005343623554023604,0.00012114340664508442,0.00041321894875727595
0.0001727823331122636,4.697018758452032e-05,0.00012581214552774328,0.000337018755361593,7.84566806978546e-05,0.0002585620746637384
0.00013518645724131298,4.280256659743221e-05,9.238389064388078e-05,6.221668593740711e-05,3.1779007663135414e-05,3.04376782742717e-05
0.00010208296493049906,3.913297571319466e-05,6.29499892173044e-05,3.982422308399691e-05,3.020104306633584e-05,9.62318001766107e-06
8.603641652310519e-05,3.6721838504308836e-05,4.9314578018796356e-05,3.612359304970596e-05,2.908888740154604e-05,7.034705648159919e-06
6.975983218132265e-05,3.405131867621094e-05,3.570851350511172e-05,8.820767768969138e-05,3.322302853727403e-05,5.4984649152417354e-05
6.412548198835187e-05,3.264969438217425e-05,3.1475787606177616e-05,8.544836946336242e-05,3.081620818702504e-05,5.463216127633738e-05
5.879155616973245e-05,3.172469685960095e-05,2.70668593101315e-05,3.642943896120414e-05,2.83601165797639e-05,8.06932238144024e-06
5.5631192052472514e-05,3.106872987215562e-05,2.4562462180316896e-05,9.239572244890345e-05,3.4001454749765495e-05,5.839426769913795e-05
5.1170649590797744e-05,3.0517368388245814e-05,2.065328120255193e-05,2.868756740011425e-05,2.7494384452196147e-05,1.1931829479181034e-06
4.902863241016652e-05,3.0129110357180858e-05,1.8899522052985656e-05,7.057713462078633e-05,2.9758368230735263e-05,4.081876639005107e-05
4.914190318425729e-05,2.9973654920468107e-05,1.9168248263789186e-05,7.869544215500355e-05,3.057575539569371e-05,4.8119686759309846e-05
4.755221279125787e-05,2.980391654224756e-05,1.774829624901031e-05,4.2882174540136474e-05,3.301210838641661e-05,9.870066153719865e-06
4.6424018270530117e-05,2.9744500750287747e-05,1.667951752024237e-05,3.416833087103442e-05,2.8110039372889636e-05,6.058291498144778e-06
4.892916476572585e-05,2.9595365909820734e-05,1.9333798855905115e-05,3.552840803337555e-05,3.237434498926935e-05,3.1540630441062e-06
4.380758179072472e-05,2.9563499210053122e-05,1.4244082580671603e-05,3.480129521776689e-05,2.951590299877959e-05,5.285392218987302e-06
4.496470617662756e-05,2.878773541209133e-05,1.6176970764536237e-05,0.00010439739869325422,3.669298417905035e-05,6.770441451420386e-05
4.143503324427608e-05,2.822011169240189e-05,1.3214921551874188e-05,3.422458329417471e-05,2.7685514983992713e-05,6.539068310181998e-06
4.7007793812448045e-05,2.7974911310593597e-05,1.903288250185445e-05,2.775814802292492e-05,2.5709727626720754e-05,2.0484203962041646e-06
4.0442055347064825e-05,2.7897691683028823e-05,1.2544363664036002e-05,3.200831465631685e-05,2.637451503445239e-05,5.633799621864455e-06
3.90833842995562e-05,2.729830703368255e-05,1.1785077265873648e-05,6.503274596761912e-05,2.793713972787373e-05,3.709560623974539e-05
3.9336346289095066e-05,2.6852003780853312e-05,1.2484342508241752e-05,4.2597462323707684e-05,3.305318644464326e-05,9.544275879064419e-06
4.0209468441056135e-05,2.6438700571695033e-05,1.3770767869361103e-05,2.739338143110217e-05,2.411123898734028e-05,3.2821424437618894e-06
3.882970604643864e-05,2.619547155724528e-05,1.2634234489193357e-05,2.9627092403704106e-05,2.4055648203163097e-05,5.571444200541009e-06
4.322689422389583e-05,2.604119618869542e-05,1.7185698035200404e-05,3.8409371090529024e-05,2.4232140731570932e-05,1.417723035895809e-05
3.668756395124243e-05,2.5771787362949302e-05,1.0915776588293133e-05,2.831153529547616e-05,2.7370406955014914e-05,9.411283404612429e-07
3.809706651597935e-05,2.5788831974690158e-05,1.2308234541289191e-05,2.9913251982604073e-05,2.867158420946604e-05,1.2416677731380333e-06
3.697394462307481e-05,2.5700144649211626e-05,1.1273799973863183e-05,2.490677587144698e-05,2.3803603502650125e-05,1.1031723687968528e-06
3.7830284570683636e-05,2.5467128823705327e-05,1.2363155746978313e-05,2.4135108543290094e-05,2.348805350387314e-05,6.47055039416955e-07
3.690011136403276e-05,2.5470739090815186e-05,1.1429372273217571e-05,2.7329571338790022e-05,2.6304557735178e-05,1.025013603612024e-06
3.700234029729472e-05,2.5254699735766433e-05,1.174764056152829e-05,5.1599197109559704e-05,4.42465133984418e-05,7.352683711117909e-06
3.647803017158064e-05,2.489311776686615e-05,1.1584912404714486e-05,2.7025458023854297e-05,2.2808523209338697e-05,4.216934814515601e-06
3.9215785464284634e-05,2.4681173534675812e-05,1.4534611929608824e-05,3.669102205506836e-05,2.314047119580209e-05,1.3550550859266272e-05
3.9450800497949486e-05,2.4190356452891137e-05,1.5260444045058345e-05,2.7640925244486428e-05,2.5975798728177326e-05,1.6651265163091012e-06
4.102129013717786e-05,2.4044126130562895e-05,1.697716400661496e-05,5.191837976162787e-05,2.666844364721328e-05,2.5249936114414594e-05
3.4595439355280174e-05,2.3595597415502803e-05,1.0999841939777373e-05,2.2705391310106883e-05,2.1363473701057955e-05,1.3419176090489298e-06
3.668472320526538e-05,2.3592697257117834e-05,1.3092025948147542e-05,2.2724628977630346e-05,2.1579913107173827e-05,1.144715870456518e-06
3.907007884101101e-05,2.340122692209358e-05,1.5668851918917426e-05,2.5298322354865376e-05,2.1155343666517485e-05,4.1429786883478906e-06
3.924965207500767e-05,2.320699972527412e-05,1.6042652349733544e-05,0.00016172415798549385,2.910003603610676e-05,0.00013262412194938708
3.766293302354218e-05,2.302930792987657e-05,1.4633625093665615e-05,2.8277442915896244e-05,2.468026282052354e-05,3.597180095372702e-06
3.428281739496318e-05,2.27353572442856e-05,1.154746015067758e-05,2.7754196625149538e-05,2.087762109877076e-05,6.876575526378777e-06
3.2974622300935154e-05,2.2334059191052802e-05,1.064056310988235e-05,2.1641253522557235e-05,2.0753755772602744e-05,8.874977499544911e-07
3.2695578939213495e-05,2.2060153820590738e-05,1.0635425118622758e-05,2.696123650748632e-05,2.0224747900889875e-05,6.7364886065964435e-06
3.415168768189384e-05,2.1738935779527916e-05,1.2412751902365927e-05,3.3421642666993045e-05,2.8758058011104975e-05,4.663584655888068e-06
2.977360904612093e-05,2.1289847612206357e-05,8.483761433914576e-06,2.940798333244553e-05,1.9407018020865506e-05,1.0000965311580027e-05
2.9792520711528897e-05,2.1020819570791596e-05,8.771701140737301e-06,1.9194122119764265e-05,1.858163286136308e-05,6.124892584011831e-07
3.0091084614878127e-05,2.082171458605444e-05,9.269370028823687e-06,4.484557499527e-05,2.0308864998514764e-05,2.4536709996755236e-05
2.9773609824663556e-05,2.0573202269345832e-05,9.200407555317724e-06,2.0404334836166524e-05,1.8415059498511253e-05,1.989275337655272e-06
2.9347535641242453e-05,2.0402879285878346e-05,8.944656355364107e-06,2.7923843278404093e-05,2.2055032394321947e-05,5.868810884082147e-06
2.9908708062733543e-05,2.009746510933231e-05,9.811242953401234e-06,3.334578284120653e-05,1.8297698328387925e-05,1.5048084512818605e-05
2.9869882174837888e-05,1.9976390821587603e-05,9.893491353250283e-06,2.3340432504968095e-05,1.8054567456905108e-05,5.285865048062988e-06
2.9348334986540674e-05,1.9685769071414445e-05,9.662565915126228e-06,1.8628227496901673e-05,1.776068593705228e-05,8.675415598493904e-07
2.8190328715269664e-05,1.9619330372370313e-05,8.570998342899353e-06,1.806541325361953e-05,1.7431276592348393e-05,6.341366612711378e-07
2.7889377013472467e-05,1.9288993530790322e-05,8.600383482682143e-06,4.400734286367272e-05,1.9004833986400626e-05,2.5002508877272096e-05
2.731166279683445e-05,1.915322208466629e-05,8.158440712168157e-06,2.070046298795205e-05,1.750619612575974e-05,3.1942668621923077e-06
2.7163848558764888e-05,1.904649225034518e-05,8.117356308419706e-06,2.2005170065676792e-05,1.6828698891913518e-05,5.176471173763275e-06
2.682071265066952e-05,1.896104984237657e-05,7.859662808292948e-06,3.4053390207797444e-05,2.2505157649478255e-05,1.154823255831919e-05
2.708754850677148e-05,1.865952223306522e-05,8.428026273706262e-06,3.4799560069222936e-05,1.9627933021790037e-05,1.5171627047432897e-05
2.607000438401883e-05,1.8650943920753585e-05,7.419060463265244e-06,2.0419169598729546e-05,1.7078378261066975e-05,3.3407913376625704e-06
2.6018397671343033e-05,1.8148219030020605e-05,7.87017864132243e-06,2.3749383949082887e-05,1.816111714094101e-05,5.5882668081418765e-06
2.5734064525075456e-05,1.7921946735683983e-05,7.812117789391475e-06,1.7379632743814e-05,1.6805576337113355e-05,5.740564067006441e-07
