train_loss,valid_loss
0.008492239595643089,0.00020012945411726832
0.00017511793947293578,0.0001442688462479661
0.00011241533767485332,5.301442566754607e-05
8.143531799966392e-05,2.58500561331554e-05
5.608937899087323e-05,1.5943015948869287e-05
4.264990240408224e-05,1.0134408304293174e-05
3.485934455384268e-05,7.761370689938e-06
2.841666761341912e-05,2.2931619837375668e-05
2.3658490195521154e-05,7.684275242111956e-06
2.1068310749402978e-05,1.2551306704699527e-05
1.8452924970491343e-05,2.104833071825851e-06
1.7404855453817922e-05,2.8777753432708173e-05
1.527030818366863e-05,5.9281757848414905e-06
1.4835944269210207e-05,4.716868158235836e-06
1.4227030319185967e-05,1.5024499953142367e-06
1.2910718658258701e-05,9.400512001472331e-07
1.2677851350296501e-05,8.246196048761096e-06
1.1988116423481188e-05,1.3473015151248547e-06
1.1317008481122079e-05,1.7361295579272944e-06
1.124114543019156e-05,6.111941862036474e-06
1.1000214627635312e-05,3.491987353481818e-06
1.0235742836205948e-05,3.629626184798932e-06
1.0203028039131823e-05,4.006770087774688e-07
9.94136979849524e-06,1.0848993885398764e-06
9.223301625600774e-06,6.565569733114292e-06
9.493114333008634e-06,6.460517554854354e-05
8.782737057511742e-06,6.137009668236715e-07
8.645034104741474e-06,1.016150039928713e-06
8.865512068890287e-06,8.28209827189615e-07
7.851885237520643e-06,5.5467483820393684e-05
8.426056700955087e-06,2.457514199583481e-06
7.940390249306498e-06,5.790162202902138e-06
7.719535622944325e-06,7.97222916874792e-07
7.789741938404404e-06,5.74570307283769e-07
7.142715318908207e-06,6.848909697813117e-07
7.1438654717212555e-06,1.2011974155029748e-06
7.115018979197885e-06,8.192615065430194e-07
6.804564847599674e-06,8.61697882937733e-06
6.8788066685480466e-06,2.063985142437256e-06
6.7520384024949934e-06,1.2450257319263377e-06
6.615553823098708e-06,1.1872009041326237e-06
6.37252795919873e-06,2.485831489290528e-07
6.496340149855466e-06,2.778788415071176e-07
6.203785444415644e-06,8.571433694669395e-07
5.865312205954372e-06,3.227900585140257e-07
6.057294051788631e-06,5.136403101156854e-07
5.820731297565847e-06,1.752981478057336e-05
5.955248016440843e-06,1.2595212789013507e-07
5.701661016136465e-06,2.0366956986739144e-06
5.47446438185754e-06,5.992802736970286e-06
5.671331175127155e-06,9.708434009129026e-06
5.53129438620014e-06,1.4827868492375274e-07
5.328922553104576e-06,1.2648574704599015e-07
5.241902417050899e-06,4.7621822877166175e-06
5.4282424977202485e-06,1.46135561420427e-06
5.3620806847144804e-06,2.9663809331395896e-06
5.018883717120085e-06,4.3155241510248743e-07
5.080237403145323e-06,1.0928520062710353e-07
4.902657350688363e-06,1.059474623555919e-06
5.147760251664598e-06,9.533596642844107e-07
4.687764081035084e-06,2.701457074726932e-06
4.739951336593625e-06,6.545677571557462e-06
4.764130332536828e-06,3.840092541698444e-06
4.69450785377982e-06,3.356249564094469e-05
4.813012874366981e-06,1.1561997305307158e-07
4.486034898585937e-06,8.693897481559058e-07
4.4152429007738195e-06,1.1344568752065242e-07
4.47062668711169e-06,2.0275899401895005e-06
4.462565972859996e-06,4.01262454421764e-06
4.23880027021634e-06,1.0053089093222903e-05
4.489778188265822e-06,1.880070099105069e-07
4.23194512886577e-06,4.691324765250708e-06
4.220233068027331e-06,8.343560004959727e-08
4.2151406760543374e-06,6.46553373144343e-08
3.982300397524341e-06,4.806958468331383e-07
4.087019453066887e-06,9.728131307444224e-06
4.032262961650682e-06,1.4919313903495398e-06
3.938153986012101e-06,9.06515771021077e-07
3.982057986203813e-06,1.9556056593046378e-07
3.899673900165605e-06,1.3114875047297878e-06
3.8984454803056675e-06,1.7260149541774203e-07
3.7923304382549834e-06,5.341121432138607e-07
3.9581361213142445e-06,4.37421310107311e-07
3.787212174335271e-06,3.871771956134277e-06
3.7795149365109637e-06,6.345623832506438e-06
3.5596505235114743e-06,3.0452111629225935e-06
3.631751151294793e-06,1.1537234334658326e-06
3.83937932598902e-06,2.686606202208471e-07
3.624314903559404e-06,2.7212597210564125e-07
3.378720488116945e-06,4.4343279217476567e-07
3.827418203505317e-06,2.0840075780870393e-05
3.539376739406445e-06,6.323376189432869e-08
3.556123366207468e-06,9.378592674086879e-07
3.3308111814903895e-06,6.776643038695814e-07
3.308791280356142e-06,1.3711270603137867e-05
3.5187884399173678e-06,1.5251753562673306e-05
3.4242612658478795e-06,1.1605410584888886e-05
3.375673201725249e-06,2.611427073740439e-07
3.332509508949973e-06,1.038435373751175e-06
3.2792677722890556e-06,1.5628456227053295e-07
3.2158978304086836e-06,9.229240921558812e-06
3.441898398419596e-06,6.9504569757555145e-06
3.170452565908022e-06,8.49120998464059e-06
3.1818276483941567e-06,2.981880815544476e-06
3.1520238133415054e-06,2.828645541323264e-08
3.2124015994469347e-06,4.423005894598949e-08
3.137704409980794e-06,8.072786228149199e-06
3.12609708106019e-06,2.6848076658401015e-06
3.3406737161882916e-06,1.593088369797139e-07
2.862794524058169e-06,9.582059243499923e-06
3.101823204378699e-06,6.072922558329689e-06
2.972594238792207e-06,5.672401474233387e-08
3.100093906533156e-06,5.626651602748704e-07
3.0018764032182805e-06,1.6681361209824294e-06
2.989291666491075e-06,5.834077003176693e-07
3.12170268640557e-06,6.7543702670567045e-06
2.817867338263132e-06,1.1568765213117634e-07
3.226648375238502e-06,1.4786225690234763e-06
2.6265907201713884e-06,1.0193886308040115e-07
2.9785419070672485e-06,6.403483299800428e-06
2.9112612121650726e-06,2.3051214517029925e-08
2.9337446190917643e-06,2.8003841845247735e-08
2.744533312123565e-06,9.95598424973044e-06
2.913006503491526e-06,3.861426123379109e-05
2.888751542387998e-06,7.77380715929515e-06
2.8682558130815513e-06,2.1656246638788918e-07
2.8081832185762322e-06,9.31494351971196e-06
2.7077153391535567e-06,3.4897838027973192e-06
2.812380806317094e-06,3.290816047865519e-07
2.7507230530171493e-06,2.7519725760309183e-07
2.3415316521737375e-06,3.618344905747411e-05
2.4090929754213637e-06,2.3968251517847726e-06
2.524613085568698e-06,1.7107484666970171e-07
2.5959229594718634e-06,2.8527050954115416e-08
2.3260085657796027e-06,1.765582456982884e-08
2.3451798255379684e-06,8.9854508200915e-08
2.4572419906306207e-06,2.3710664951674214e-07
