train_loss,valid_loss
0.007778982891177293,9.02183158439584e-05
0.00019304247176041826,3.187755131123898e-05
0.00013254731750445594,1.288860066512522e-05
8.811466451322001e-05,0.00010943587446430077
6.40982644884692e-05,0.00010637633896355206
4.962866141407479e-05,2.1657673874869944e-05
3.996400225332764e-05,3.565540741207466e-06
3.312811905367804e-05,6.894434722683703e-06
2.7005742333797873e-05,9.415732527365132e-06
2.4807085665815975e-05,2.37156092771329e-06
2.0389275318060146e-05,2.8293192914376658e-05
2.0174201326274974e-05,4.0869535142943886e-05
1.794725342382056e-05,3.0840281083025427e-06
1.676349364649165e-05,7.4915097827518666e-06
1.6457429115568327e-05,5.889220642857254e-05
1.5018094439619745e-05,1.1289749687421135e-05
1.4897004471185937e-05,4.597183040944704e-06
1.3666128012058228e-05,9.759598774811214e-07
1.2954074805080988e-05,8.223927942647908e-06
1.2245035850871014e-05,1.3370379568489929e-06
1.2061799006278306e-05,1.9661035386282795e-06
1.1683480627304259e-05,1.0427690355451585e-06
1.1320129552511087e-05,1.678447931675085e-05
1.0991897662067156e-05,1.4273645939344229e-05
1.0309129951338036e-05,5.7929995275723435e-06
1.048022986868394e-05,7.909636740077985e-06
1.0399388614041527e-05,8.284615943315051e-07
9.415682900074292e-06,3.617548071585285e-05
1.001614335098869e-05,1.206979772177874e-06
9.31779260163239e-06,4.211542886817672e-06
8.788321678775901e-06,3.953774536967103e-07
9.544401198422747e-06,1.4000439336814451e-05
8.27673210433962e-06,5.114633328048512e-07
8.556090705640902e-06,3.5454998978821096e-06
8.514884081099202e-06,1.1538507038494572e-05
8.283929124422684e-06,9.614765727989532e-06
8.325349991590277e-06,2.388278017436581e-06
7.734823050350314e-06,2.714779870984785e-07
7.622445410500708e-06,4.512224817638828e-06
7.686621913323204e-06,1.5319970685595763e-06
7.396268107974417e-06,3.122842052349976e-06
7.37864862768068e-06,3.5758959068819723e-07
7.008790788283174e-06,1.5013166118781859e-05
7.178745451149856e-06,3.7186505966625797e-06
7.231401488403814e-06,6.179550564714494e-07
6.592510628540064e-06,5.187666587517015e-07
6.734237892120139e-06,9.915373849556393e-07
6.775130592116814e-06,2.2313924268928532e-07
6.274830961281926e-06,9.215234344083001e-07
6.41589905036426e-06,2.2377791090093524e-07
6.368577711824249e-06,3.102777423009684e-07
6.140779805673446e-06,6.866116814732474e-06
6.179647972783186e-06,5.733116106178689e-06
6.022872792762731e-06,3.301134729675444e-06
5.979418608179306e-06,7.606521616980899e-06
5.603728322830648e-06,9.229062134302997e-06
5.995712644081171e-06,9.337262023412526e-07
5.8305298377035795e-06,4.4397535964769e-05
5.286899625067084e-06,1.11690300720511e-05
5.4004385171386575e-06,1.1257760103641582e-06
5.409454984275423e-06,1.8701398070940437e-05
5.288311655253134e-06,1.6834745520100113e-07
5.25773198708066e-06,2.0556957852871466e-05
5.1523128391579575e-06,1.9984634243883193e-05
5.437034670247461e-06,1.876471236513074e-06
4.801413742120531e-06,1.7829825982668506e-07
4.892576390748596e-06,8.952643726919026e-08
4.938401235631318e-06,6.113602867844747e-06
4.699530574096873e-06,1.8816542527323083e-07
4.7522775318858145e-06,8.413714571133823e-08
4.921755967660602e-06,3.45007612986592e-07
4.6775243664550695e-06,4.2200081625196615e-06
4.414492900910242e-06,8.243368671780142e-08
4.5951426167903265e-06,3.547587071655774e-07
4.66049824871296e-06,1.3671663837916033e-07
4.2546585042809205e-06,7.331432877108454e-05
4.652963596957231e-06,1.9028061428798536e-07
3.921356181077347e-06,9.138764228555374e-06
4.391937724983563e-06,1.586462178693182e-07
4.298884468300912e-06,7.668066652210351e-08
4.127459815113828e-06,3.5853808676620246e-06
4.207908810633398e-06,3.2604842576802186e-07
4.0697968379485395e-06,3.171046027855482e-05
4.223321769908731e-06,2.0397999636922274e-07
4.060521504273614e-06,6.892852837836472e-08
3.995971772491203e-06,8.511899385666766e-07
3.8423874687036156e-06,1.38396426589073e-05
3.9359875120851485e-06,2.452480536157964e-06
3.840400879649527e-06,1.6321876926667755e-06
4.039886529955084e-06,1.625117756778612e-07
3.8080001161082087e-06,2.584204644942171e-07
3.810380009938778e-06,1.3966447291750229e-06
4.1398420923352814e-06,6.4941153637695e-08
3.3836975499317153e-06,2.02378573800767e-06
3.4976376954242977e-06,8.14539318162133e-07
3.7674149235556343e-06,1.4268575602424486e-06
3.7302155004567792e-06,6.165147951226876e-07
