p,rho,theta,lamda
-2000.0,196.45867754361376,0.0,0.0
-2000.0,273.30497357381324,0.0,0.005263157894736842
-2000.0,307.6742157596754,0.0,0.010526315789473684
-2000.0,331.2687347054526,0.0,0.015789473684210527
-2000.0,349.59115476248337,0.0,0.021052631578947368
-2000.0,364.7231253143196,0.0,0.02631578947368421
-2000.0,377.694451776739,0.0,0.031578947368421054
-2000.0,389.0955006629738,0.0,0.03684210526315789
-2000.0,399.2984083110748,0.0,0.042105263157894736
-2000.0,408.5539218216192,0.0,0.04736842105263158
-2000.0,417.03958182308037,0.0,0.05263157894736842
-2000.0,424.88601283500543,0.0,0.05789473684210526
-2000.0,432.19230924052886,0.0,0.06315789473684211
-2000.0,439.03555034573196,0.0,0.06842105263157895
-2000.0,445.4769534293207,0.0,0.07368421052631578
-2000.0,451.56600238560395,0.0,0.07894736842105263
-2000.0,457.3433054485674,0.0,0.08421052631578947
-2000.0,462.84262639909184,0.0,0.08947368421052632
-2000.0,468.0923617755508,0.0,0.09473684210526316
-2000.0,473.1166368981304,0.0,0.1
-1789.4736842105262,196.45867754361376,0.0,0.0
-1789.4736842105262,273.3049735738131,0.0,0.005263157894736842
-1789.4736842105262,307.6742157596756,0.0,0.010526315789473684
-1789.4736842105262,331.2687347054526,0.0,0.015789473684210527
-1789.4736842105262,349.59115476248337,0.0,0.021052631578947368
-1789.4736842105262,364.72312531431976,0.0,0.02631578947368421
-1789.4736842105262,377.694451776739,0.0,0.031578947368421054
-1789.4736842105262,389.0955006629738,0.0,0.03684210526315789
-1789.4736842105262,399.2984083110748,0.0,0.042105263157894736
-1789.4736842105262,408.5539218216192,0.0,0.04736842105263158
-1789.4736842105262,417.03958182308037,0.0,0.05263157894736842
-1789.4736842105262,424.88601283500543,0.0,0.05789473684210526
-1789.4736842105262,432.19230924052886,0.0,0.06315789473684211
-1789.4736842105262,439.03555034573196,0.0,0.06842105263157895
-1789.4736842105262,445.4769534293207,0.0,0.07368421052631578
-1789.4736842105262,451.56600238560435,0.0,0.07894736842105263
-1789.4736842105262,457.3433054485674,0.0,0.08421052631578947
-1789.4736842105262,462.84262639909184,0.0,0.08947368421052632
-1789.4736842105262,468.0923617755508,0.0,0.09473684210526316
-1789.4736842105262,473.1166368981307,0.0,0.1
-1578.9473684210527,196.45867754361376,0.0,0.0
-1578.9473684210527,273.3049735738131,0.0,0.005263157894736842
-1578.9473684210527,307.6742157596756,0.0,0.010526315789473684
-1578.9473684210527,331.2687347054526,0.0,0.015789473684210527
-1578.9473684210527,349.59115476248337,0.0,0.021052631578947368
-1578.9473684210527,364.72312531431976,0.0,0.02631578947368421
-1578.9473684210527,377.694451776739,0.0,0.031578947368421054
-1578.9473684210527,389.0955006629738,0.0,0.03684210526315789
-1578.9473684210527,399.2984083110748,0.0,0.042105263157894736
-1578.9473684210527,408.5539218216192,0.0,0.04736842105263158
-1578.9473684210527,417.03958182308037,0.0,0.05263157894736842
-1578.9473684210527,424.88601283500543,0.0,0.05789473684210526
