p,rho,theta,lamda
-2000.0,176.77669529663697,0.0,0.0
-2000.0,245.92423526717283,0.0,0.005263157894736842
-2000.0,276.8502352251933,0.0,0.010526315789473684
-2000.0,298.08096495675403,0.0,0.015789473684210527
-2000.0,314.5677748448013,0.0,0.021052631578947368
-2000.0,328.18376667028724,0.0,0.02631578947368421
-2000.0,339.8555760009352,0.0,0.031578947368421054
-2000.0,350.11442417309866,0.0,0.03684210526315789
-2000.0,359.2951654821593,0.0,0.042105263157894736
-2000.0,367.62342622444345,0.0,0.04736842105263158
-2000.0,375.2589603287391,0.0,0.05263157894736842
-2000.0,382.3193058502712,0.0,0.05789473684210526
-2000.0,388.89362951759523,0.0,0.06315789473684211
-2000.0,395.05128853689365,0.0,0.06842105263157895
-2000.0,400.84736720558766,0.0,0.07368421052631578
-2000.0,406.3263919320584,0.0,0.07894736842105263
-2000.0,411.5249026619856,0.0,0.08421052631578947
-2000.0,416.4732805914535,0.0,0.08947368421052632
-2000.0,421.1970773849354,0.0,0.09473684210526316
-2000.0,425.7180013957042,0.0,0.1
-1789.4736842105262,176.7766952966368,0.0,0.0
-1789.4736842105262,245.92423526717283,0.0,0.005263157894736842
-1789.4736842105262,276.8502352251931,0.0,0.010526315789473684
-1789.4736842105262,298.08096495675403,0.0,0.015789473684210527
-1789.4736842105262,314.5677748448013,0.0,0.021052631578947368
-1789.4736842105262,328.18376667028724,0.0,0.02631578947368421
-1789.4736842105262,339.85557600093534,0.0,0.031578947368421054
-1789.4736842105262,350.11442417309866,0.0,0.03684210526315789
-1789.4736842105262,359.2951654821593,0.0,0.042105263157894736
-1789.4736842105262,367.62342622444345,0.0,0.04736842105263158
-1789.4736842105262,375.2589603287391,0.0,0.05263157894736842
-1789.4736842105262,382.3193058502712,0.0,0.05789473684210526
-1789.4736842105262,388.89362951759523,0.0,0.06315789473684211
-1789.4736842105262,395.05128853689365,0.0,0.06842105263157895
-1789.4736842105262,400.84736720558794,0.0,0.07368421052631578
-1789.4736842105262,406.3263919320584,0.0,0.07894736842105263
-1789.4736842105262,411.5249026619853,0.0,0.08421052631578947
-1789.4736842105262,416.4732805914535,0.0,0.08947368421052632
-1789.4736842105262,421.1970773849354,0.0,0.09473684210526316
-1789.4736842105262,425.7180013957042,0.0,0.1
-1578.9473684210527,176.7766952966368,0.0,0.0
-1578.9473684210527,245.92423526717283,0.0,0.005263157894736842
-1578.9473684210527,276.8502352251931,0.0,0.010526315789473684
-1578.9473684210527,298.08096495675403,0.0,0.015789473684210527
-1578.9473684210527,314.5677748448013,0.0,0.021052631578947368
-1578.9473684210527,328.18376667028724,0.0,0.02631578947368421
-1578.9473684210527,339.85557600093534,0.0,0.031578947368421054
-1578.9473684210527,350.11442417309866,0.0,0.03684210526315789
-1578.9473684210527,359.2951654821593,0.0,0.042105263157894736
-1578.9473684210527,367.62342622444345,0.0,0.04736842105263158
